component_name,brand_name,impurity_name,ppm,mole_fraction,molar_mass
iso-butylene,Isgas,cis-2-Butene,20.8,0.00208,56.108
iso-butylene,Isgas,"1,3-Butadiene",40.3,0.00403,54.092
iso-butylene,Isgas,iso-Butylene,999854,99.9854,56.108
1-butene,Chengdu,H2O,19,0.0019,18.01528
1-butene,Chengdu,CO2,0.2,0.00002,44.01100159
1-butene,Chengdu,Isobutene,205,0.0205,56.108
1-butene,Chengdu,2 butene,205,0.0205,56.106
1-butene,Chengdu,Propylene,4.5,0.00045,42.081
1-butene,Chengdu,Iso-Butane,2500,0.25,58.124
1-butene,Chengdu,n-Butane,270,0.027,58.124
1-butene,Chengdu,trans-2-Butene,3,0.0003,56.108
1-butene,Chengdu,"1,3-Butadiene",1000,0.1,54.092
1-butene,Chengdu,1-Butene,995793.3,99.57933,56.108
"1,3-butadiene",Chengdu,Iso-Butane,2,0.0002,58.124
"1,3-butadiene",Chengdu,n-Butane,11,0.0011,58.124
"1,3-butadiene",Chengdu,Trans-2-Butene,612,0.0612,56.108
"1,3-butadiene",Chengdu,Cis-2-Butene,339,0.0339,56.108
"1,3-butadiene",Chengdu,1-Butene,1613,0.1613,56.108
"1,3-butadiene",Chengdu,Iso-Butylene,180,0.018,56.108
"1,3-butadiene",Chengdu,n-Hexane,8,0.0008,86.18
"1,3-butadiene",Chengdu,"1,3-Butadiene",997235,99.7235,54.092
propylene,Chengdu,Propane,76,0.0076,44.097
propylene,Chengdu,Propylene,9999924,999.9924,42.081
ethylene,Efgas,Methane,17,0.0017,16.043
ethylene,Efgas,Acetylene,2,0.0002,26.038
ethylene,Efgas,Iso-Butane,2,0.0002,58.124
ethylene,Efgas,Oxygen,56,0.0056,31.9988
ethylene,Efgas,Nitrogen,126,0.0126,28.013
ethylene,Efgas,Hydrogen,3,0.0003,2.016
ethylene,Efgas,CO,16,0.0016,28.01
ethylene,Efgas,Ethylene,999778,99.9778,28.06
"1,3-butadiene",CSI,Iso-Butane + acetylene,8,0.0008,58.124
"1,3-butadiene",CSI,n-Butane + propadiene,7,0.0007,58.124
"1,3-butadiene",CSI,Trans-2-Butene,944,0.0944,56.108
"1,3-butadiene",CSI,1-Butene,238,0.0238,56.108
"1,3-butadiene",CSI,Iso-Butylene,475,0.0475,56.108
"1,3-butadiene",CSI,Cis-2-Butene,1428,0.1428,56.108
"1,3-butadiene",CSI,1-Pentene,3,0.0003,70.134
"1,3-butadiene",CSI,"1,3-Butadiene",996897,99.6897,54.092
ethane,Chengdu,Methane,75,0.0075,16.043
ethane,Chengdu,Ethane,999925,99.9925,30.07
iso-butylene,3N,iso-Pentane,222,0.0222,72.15
iso-butylene,3N,iso-Butane,48,0.0048,58.124
iso-butylene,3N,iso-Butylene,999730,99.973,56.108
ethane,CSI,Methane,38.5,0.00385,16.043
ethane,CSI,N2,50,0.005,28.0134
ethane,CSI,Propane,4575,0.4575,44.097
ethane,CSI,Ethane,995336.5,99.53365,30.07
ethylene,4.5N,Ethane,5,0.0005,30.07
ethylene,4.5N,O2+Ar,0.3,0.00003,31.9988
ethylene,4.5N,N2,3.7,0.00037,28.013
ethylene,4.5N,CO,0.25,0.000025,31.9988
ethylene,4.5N,CO2,0.25,0.000025,44.011002
ethylene,4.5N,Acetylene,0.25,0.000025,26.038
ethylene,4.5N,H2O,1.5,0.00015,18.01528
ethylene,4.5N,Other HC,4,0.0004,16.043
ethylene,4.5N,Ethylene,999984.75,99.998475,28.06
carbon monoxide,Air Gas,Methane,1,0.0001,16.043
carbon monoxide,Air Gas,N2,26.61,0.002661,28.013
carbon monoxide,Air Gas,CO2,16,0.0016,44.01100159
carbon monoxide,Air Gas,Oxygen,0.1,0.00001,31.9988
carbon monoxide,Air Gas,Hydrogen,0.03,0.000003,2.016
carbon monoxide,Air Gas,CO,999956.26,99.995626,28.01
iso-butane,Huate,"2,2 Dimethyl Propane",0.002,0.0000002,72.151
iso-butane,Huate,Propane,0.002,0.0000002,44.097
iso-butane,Huate,iso-Butane,999960,99.996,58.124
